Collection|FileName|Path|Value
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/@xsi:schemaLocation|http://purl.org/dryad/schema/terms/v3.1 http://datadryad.org/profile/v3.1/dryad.xsd
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:type|file
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:creator|Clark, Emily S.
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:creator|Pompini, Manuel
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:creator|Marques da Cunha, Lucas
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:creator|Wedekind, Claus
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:title|Functional Ecology data file 2
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:identifier|http://dx.doi.org/10.5061/dryad.t91gr/2
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:identifier|http://dx.doi.org/10.5061/dryad.t91gr/2
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:rights|http://creativecommons.org/publicdomain/zero/1.0/
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:description|Hatchling lenght and yolk sac dimensions
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:subject|Coregonus
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:subject|salmonid
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:subject|quantitative genetics
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:subject|host-pathogen interaction
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:subject|reaction norms
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:subject|heritability
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:subject|susceptibility to infection
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns3:scientificName|Coregonus palaea
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:spatial|Lake Geneva
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:spatial|Switzerland
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:temporal|Holocene
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:dateSubmitted|2013-11-11T16:52:13Z
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:available|2013-11-11T16:52:13Z
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:provenance|Step: dryadAcceptEditReject - action:dryadAcceptEditRejectAction Entered publication blackout by Dryad Queue(dryad.queue@gmail.com) on 2013-10-22T18:29:35Z (GMT)
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:provenance|Made available in DSpace on 2013-11-11T16:52:13Z (GMT). No. of bitstreams: 1 Functional Ecology data file 2.txt: 1001674 bytes, checksum: ff70d44cf546adc011c02e422a15b6d1 (MD5)
DRYAD|00759-metadata.xml|/ns0:DryadDataFile/ns2:isPartOf|http://dx.doi.org/10.5061/dryad.t91gr
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/@xsi:schemaLocation|http://purl.org/dryad/schema/terms/v3.1 http://datadryad.org/profile/v3.1/dryad.xsd
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:type|file
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:creator|Young, Vanessa K. Hilliard
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:creator|Blob, Richard W.
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:title|Young&Blob_TurtleFemurStrainData_Dryad
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:identifier|http://dx.doi.org/10.5061/dryad.0jd3t/1
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:rights|http://creativecommons.org/publicdomain/zero/1.0/
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:description|Peak strain data from turtle femoral mid-shafts during swimming and terrestrial walking.
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:subject|locomotion
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:subject|evolution
DRYAD|00760-metadata.xml|/ns0:DryadDataFile/ns2:subject|bone strain
